"Story","Title","Result","Date","Stability","Duration (s)"
"As a client","consult an user","SUCCESS","2022-10-28T22:58:56.432-05:00[America/Mexico_City]","0.0","4.1"
"As a client","consult an user","SUCCESS","2022-10-29T19:54:27.533-05:00[America/Mexico_City]","0.0","6.11"
"As a user","new register","SUCCESS","2022-10-28T22:59:00.546-05:00[America/Mexico_City]","0.0","2.65"
"As a user","new register","SUCCESS","2022-10-29T19:54:35.434-05:00[America/Mexico_City]","0.0","2.18"
"As a user","delete user","SUCCESS","2022-10-28T22:59:03.21-05:00[America/Mexico_City]","0.0","0.72"
"As a user","delete user","SUCCESS","2022-10-29T19:54:37.752-05:00[America/Mexico_City]","0.0","0.72"
"As a user","modify register","SUCCESS","2022-10-29T11:16:43.496-05:00[America/Mexico_City]","0.0","9.52"
"As a user","modify register","SUCCESS","2022-10-29T19:54:38.609-05:00[America/Mexico_City]","0.0","1.41"
